Test MSE: 59.4221968464
R-sqruared Adj: 0.515860574289
**************
week,beat,prediction
21,0111,22.758153958
21,0112,18.7912299512
21,0113,16.3179119615
21,0114,5.88050179282
21,0121,5.88050179282
21,0122,31.3747196649
21,0123,22.758153958
21,0124,15.6678184346
21,0131,22.758153958
21,0132,29.6069180472
21,0133,14.6855782229
21,0134,17.2237046369
21,0211,18.7912299512
21,0212,15.6678184346
21,0213,14.9488576298
21,0214,14.6855782229
21,0215,5.66948611601
21,0221,14.9488576298
21,0222,15.6678184346
21,0223,14.9488576298
21,0224,14.6855782229
21,0225,5.66948611601
21,0231,8.42274417588
21,0232,15.6678184346
21,0233,16.4689070371
21,0234,15.6678184346
21,0235,5.66948611601
21,0310,5.66948611601
21,0311,14.6855782229
21,0312,29.6069180472
21,0313,23.1775401728
21,0314,14.9488576298
21,0321,29.6069180472
21,0322,22.3065891046
21,0323,23.1775401728
21,0324,28.5507331545
21,0331,23.1775401728
21,0332,23.1775401728
21,0333,18.2354018009
21,0334,22.3065891046
21,0411,23.1775401728
21,0412,23.1775401728
21,0413,23.1775401728
21,0414,30.365483016
21,0421,31.3747196649
21,0422,22.3065891046
21,0423,31.3747196649
21,0424,23.1775401728
21,0430,5.66948611601
21,0431,22.758153958
21,0432,22.758153958
21,0433,15.6678184346
21,0434,14.6855782229
21,0511,31.3747196649
21,0512,29.6069180472
21,0513,23.1775401728
21,0522,29.6069180472
21,0523,24.304155237
21,0524,23.1775401728
21,0531,22.3065891046
21,0532,19.4413234781
21,0533,20.4480890371
21,0611,23.1775401728
21,0612,29.6069180472
21,0613,22.758153958
21,0614,22.3065891046
21,0621,29.6069180472
21,0622,15.6678184346
21,0623,29.6069180472
21,0624,31.3747196649
21,0631,29.6069180472
21,0632,29.6069180472
21,0633,15.3926829481
21,0634,22.758153958
21,0711,22.758153958
21,0712,28.5507331545
21,0713,29.6069180472
21,0714,15.6678184346
21,0715,15.6678184346
21,0722,14.9488576298
21,0723,22.758153958
21,0724,15.6678184346
21,0725,23.1775401728
21,0726,21.9260873963
21,0731,15.6678184346
21,0732,15.6678184346
21,0733,22.3065891046
21,0734,15.6678184346
21,0735,22.3065891046
21,0811,19.4413234781
21,0812,15.6678184346
21,0813,29.6069180472
21,0814,22.3065891046
21,0815,29.6069180472
21,0821,18.4296263141
21,0822,23.1775401728
21,0823,31.3747196649
21,0824,26.7118748094
21,0825,31.3747196649
