month,weekday,average
4,0,4723.13333333
4,1,4774.33333333
4,2,4786.13333333
4,3,4740.13333333
4,4,4956.93333333
4,5,4609.8
4,6,4358.26666667
10,0,5015.42857143
10,1,5161.07142857
10,2,5363.21428571
10,3,5052.07142857
10,4,5408.5
10,5,4969.85714286
10,6,4745.42857143
5,0,4855.2
5,1,5104.4
5,2,5086.8
5,3,5136.73333333
5,4,5264.06666667
5,5,4828.26666667
5,6,4491.8
11,0,4492.85714286
11,1,4622.28571429
11,2,4605.92857143
11,3,4384.14285714
11,4,4880.92857143
11,5,4747.71428571
11,6,4318.0
6,0,5113.57142857
6,1,5063.78571429
6,2,5207.78571429
6,3,4986.71428571
6,4,5376.57142857
6,5,5209.0
6,6,5093.0
1,0,4324.53333333
1,1,4569.0
1,2,4516.06666667
1,3,4550.6
1,4,4584.0
1,5,4395.06666667
1,6,3960.53333333
12,0,4381.42857143
12,1,4255.28571429
12,2,4326.85714286
12,3,4252.28571429
12,4,4516.28571429
12,5,4292.21428571
12,6,3955.21428571
7,0,5446.42857143
7,1,5569.64285714
7,2,5395.71428571
7,3,5361.07142857
7,4,5463.57142857
7,5,5373.78571429
7,6,5339.42857143
2,0,3754.26666667
2,1,3849.33333333
2,2,3988.8
2,3,3914.26666667
2,4,4278.0
2,5,3830.33333333
2,6,3582.13333333
8,0,5213.85714286
8,1,5251.92857143
8,2,5405.42857143
8,3,5333.92857143
8,4,5729.21428571
8,5,5347.71428571
8,6,5188.78571429
3,0,4594.66666667
3,1,4687.13333333
3,2,4720.4
3,3,4825.26666667
3,4,5041.0
3,5,4768.06666667
3,6,4223.8
9,0,4903.92857143
9,1,5022.28571429
9,2,4898.07142857
9,3,5018.21428571
9,4,5256.92857143
9,5,5147.42857143
9,6,4945.57142857
