weekday,hour,average
4,0,3010.06666667
4,1,1590.33333333
4,2,1311.46666667
4,3,1010.2
4,4,760.933333333
4,5,669.8
4,6,885.133333333
4,7,1379.2
4,8,2056.2
4,9,2542.46666667
4,10,2473.33333333
4,11,2603.8
4,12,3351.6
4,13,2778.0
4,14,3013.26666667
4,15,3227.0
4,16,2947.4
4,17,3016.93333333
4,18,3232.73333333
4,19,3316.53333333
4,20,3317.13333333
4,21,3353.53333333
4,22,3440.6
4,23,3026.2
5,0,3501.93333333
5,1,2424.13333333
5,2,2186.6
5,3,1757.66666667
5,4,1285.8
5,5,880.933333333
5,6,793.6
5,7,912.266666667
5,8,1352.33333333
5,9,1945.66666667
5,10,2164.93333333
5,11,2289.06666667
5,12,2902.66666667
5,13,2426.86666667
5,14,2517.73333333
0,0,3051.06666667
5,15,2621.86666667
0,1,1511.13333333
5,16,2547.06666667
0,2,1189.66666667
5,17,2599.66666667
5,18,2783.93333333
0,3,914.133333333
5,19,2941.86666667
0,4,694.0
5,20,3045.0
0,5,648.2
5,21,3099.26666667
0,6,851.266666667
5,22,3250.6
0,7,1357.33333333
5,23,2948.6
0,8,2061.6
0,9,2536.6
0,10,2364.0
0,11,2452.53333333
0,12,3177.66666667
0,13,2661.2
0,14,2833.6
0,15,2970.46666667
0,16,2786.0
0,17,2835.46666667
0,18,3058.2
0,19,3170.0
0,20,3112.46666667
0,21,3049.6
6,0,3441.73333333
0,22,2925.06666667
6,1,2487.93333333
0,23,2303.53333333
6,2,2245.93333333
6,3,2009.13333333
6,4,1481.33333333
6,5,1029.66666667
6,6,797.466666667
6,7,798.2
6,8,1124.46666667
6,9,1665.73333333
6,10,1870.46666667
6,11,2049.2
6,12,2551.13333333
6,13,2167.2
6,14,2255.06666667
1,0,2919.26666667
6,15,2408.46666667
1,1,1434.66666667
6,16,2397.2
6,17,2478.53333333
1,2,1110.0
6,18,2694.13333333
1,3,838.733333333
6,19,2857.2
1,4,645.2
6,20,2958.13333333
1,5,619.466666667
1,6,876.8
6,21,2919.73333333
1,7,1437.4
6,22,2896.26666667
1,8,2127.6
6,23,2378.6
1,9,2556.73333333
1,10,2388.8
1,11,2532.6
1,12,3273.86666667
1,13,2774.46666667
1,14,2995.53333333
1,15,3061.2
1,16,2867.2
1,17,2888.33333333
1,18,3103.06666667
1,19,3275.53333333
1,20,3303.46666667
1,21,3181.2
1,22,3039.46666667
1,23,2350.13333333
2,0,2922.06666667
2,1,1444.13333333
2,2,1120.33333333
2,3,847.533333333
2,4,640.933333333
2,5,618.133333333
2,6,893.466666667
2,7,1415.53333333
2,8,2144.26666667
2,9,2585.0
2,10,2428.13333333
2,11,2539.86666667
2,12,3328.33333333
2,13,2816.86666667
2,14,3011.53333333
2,15,3117.73333333
2,16,2861.6
2,17,2898.0
2,18,3148.73333333
2,19,3305.4
2,20,3311.33333333
2,21,3171.33333333
2,22,3023.8
2,23,2360.26666667
3,0,2914.93333333
3,1,1496.2
3,2,1192.73333333
3,3,924.066666667
3,4,689.933333333
3,5,619.466666667
3,6,888.933333333
3,7,1386.66666667
3,8,2122.13333333
3,9,2547.6
3,10,2403.8
3,11,2544.13333333
3,12,3233.46666667
3,13,2729.66666667
3,14,2964.66666667
3,15,3086.53333333
3,16,2816.6
3,17,2816.4
3,18,3026.8
3,19,3184.33333333
3,20,3185.46666667
3,21,3087.33333333
3,22,2991.93333333
3,23,2409.06666667
